County,Diabetes,Obesity,PM2.5,Median_Income,Uninsured,z_obesity,z_uninsured,z_income_protective,z_income_risk,Risk_Score,Risk_Rank,Risk_Percentile
Texas,13.0,36.0,8.1,75800.0,22,,,,,,,
Anderson,14.0,40.0,8.3,56500.0,22,0.21046153091813943,-0.2456652826089235,-0.4745849295800803,0.4745849295800803,0.4393811778892962,113.0,55.90551181102362
Andrews,14.0,39.0,6.5,80900.0,27,-0.10033631125167004,0.7232630059418,1.1877229485512095,-1.1877229485512095,-0.5647962538610796,168.0,34.25196850393701
Angelina,14.0,41.0,8.8,57300.0,24,0.5212593730879489,0.1419060328113659,-0.42008303193643143,0.42008303193643143,1.0832484378357463,78.0,69.68503937007874
Aransas,13.0,40.0,9.3,60100.0,24,0.21046153091813943,0.1419060328113659,-0.22932639018366047,0.22932639018366047,0.5816939539131658,105.0,59.055118110236215
Archer,10.0,36.0,7.7,71700.0,19,-1.0327298377610985,-0.8270222557393576,0.5609511256492478,-0.5609511256492478,-2.4207032191497038,223.0,12.598425196850393
Armstrong,10.0,34.0,5.8,68600.0,13,-1.6543255221007174,-1.9897362020002258,0.3497562722801085,-0.3497562722801085,-3.993817996381052,238.0,6.692913385826772
Atascosa,15.0,43.0,8.6,58300.0,24,1.1428550574275678,0.1419060328113659,-0.3519556598818704,0.3519556598818704,1.636716750120804,54.0,79.13385826771653
Austin,12.0,36.0,9.2,73200.0,22,-1.0327298377610985,-0.2456652826089235,0.6631421837310894,-0.6631421837310894,-1.9415373041011115,212.0,16.92913385826772
Bailey,13.0,38.0,,51200.0,33,-0.4111341534214795,1.8859769522026684,-0.8356600014692539,0.8356600014692539,2.310502800250443,33.0,87.4015748031496
Bandera,11.0,36.0,8.0,66600.0,22,-1.0327298377610985,-0.2456652826089235,0.21350152817098642,-0.21350152817098642,-1.4918966485410086,203.0,20.47244094488189
Bastrop,12.0,40.0,8.4,77300.0,25,0.21046153091813943,0.3356916905215106,0.9424644091547897,-0.9424644091547897,-0.3963111877151396,158.0,38.188976377952756
Baylor,11.0,36.0,,49600.0,19,-1.0327298377610985,-0.8270222557393576,-0.9446637967565515,0.9446637967565515,-0.9150882967439046,183.0,28.346456692913385
Bee,16.0,43.0,8.9,54100.0,19,1.1428550574275678,-0.8270222557393576,-0.6380906225110268,0.6380906225110268,0.9539234241992369,87.0,66.14173228346458
Bell,14.0,39.0,7.8,69600.0,20,-0.10033631125167004,-0.633236598029213,0.41788364433466957,-0.41788364433466957,-1.1514565536155525,188.0,26.37795275590551
Bexar,15.0,37.0,8.7,69800.0,22,-0.721931995591289,-0.2456652826089235,0.4315091187455818,-0.4315091187455818,-1.3991063969457942,197.0,22.83464566929134
Blanco,11.0,35.0,,91000.0,20,-1.343527679930908,-0.633236598029213,1.8758094063022763,-1.8758094063022763,-3.8525736842623974,236.0,7.480314960629922
Borden,9.0,33.0,6.1,80700.0,15,-1.9651233642705268,-1.6021648865799365,1.1740974741402974,-1.1740974741402974,-4.741385724990761,244.0,4.330708661417323
Bosque,12.0,37.0,8.2,66300.0,23,-0.721931995591289,-0.05187962489877881,0.1930633165546181,-0.1930633165546181,-0.9668749370446859,186.0,27.165354330708663
Bowie,13.0,41.0,9.3,55300.0,19,0.5212593730879489,-0.8270222557393576,-0.5563377760455536,0.5563377760455536,0.25057489339414485,121.0,52.75590551181102
Brazoria,13.0,40.0,10.4,93100.0,18,0.21046153091813943,-1.0208079134495023,2.0188768876168544,-2.0188768876168544,-2.8292232701482174,225.0,11.811023622047244
Brazos,13.0,37.0,8.1,55700.0,18,-0.721931995591289,-1.0208079134495023,-0.5290868272237291,0.5290868272237291,-1.2136530818170623,191.0,25.196850393700785
Brewster,12.0,36.0,5.4,57900.0,26,-1.0327298377610985,0.5294773482316553,-0.3792066087036948,0.3792066087036948,-0.12404588082574841,145.0,43.30708661417323
Briscoe,16.0,43.0,5.9,58000.0,25,1.1428550574275678,0.3356916905215106,-0.3723938714982387,0.3723938714982387,1.850940619447317,48.0,81.49606299212599
Brooks,19.0,45.0,9.3,36700.0,23,1.7644507417671869,-0.05187962489877881,-1.8235068962603893,1.8235068962603893,3.5360780131287974,18.0,93.30708661417323
Brown,12.0,38.0,7.3,57700.0,21,-0.4111341534214795,-0.43945094031906823,-0.392832083114607,0.392832083114607,-0.4577530106259407,163.0,36.22047244094488
Burleson,12.0,38.0,8.6,63800.0,24,-0.4111341534214795,0.1419060328113659,0.022744886418215447,-0.022744886418215447,-0.291973007028329,151.0,40.94488188976378
Burnet,11.0,42.0,8.0,77800.0,22,0.8320572152577583,-0.2456652826089235,0.9765280951820703,-0.9765280951820703,-0.39013616253323546,157.0,38.582677165354326
Caldwell,15.0,39.0,8.9,63400.0,27,-0.10033631125167004,0.7232630059418,-0.004506062403608978,0.004506062403608978,0.6274327570937389,103.0,59.84251968503938
Calhoun,13.0,37.0,9.2,68900.0,20,-0.721931995591289,-0.633236598029213,0.37019448389647686,-0.37019448389647686,-1.7253630775169788,208.0,18.503937007874015
Callahan,11.0,36.0,7.0,63400.0,21,-1.0327298377610985,-0.43945094031906823,-0.004506062403608978,0.004506062403608978,-1.4676747156765577,199.0,22.04724409448819
Cameron,20.0,48.0,12.6,51700.0,33,2.696844268276615,1.8859769522026684,-0.8015963154419734,0.8015963154419734,5.384417535921257,5.0,98.4251968503937
Camp,14.0,40.0,8.7,53800.0,24,0.21046153091813943,0.1419060328113659,-0.6585288341273952,0.6585288341273952,1.0108963978569006,85.0,66.92913385826772
Carson,10.0,34.0,6.0,73700.0,17,-1.6543255221007174,-1.214593571159647,0.69720586975837,-0.69720586975837,-3.5661249630187344,232.0,9.05511811023622
Cass,12.0,39.0,9.1,52100.0,20,-0.10033631125167004,-0.633236598029213,-0.774345366620149,0.774345366620149,0.04077245733926593,138.0,46.06299212598425
Castro,15.0,40.0,6.1,55100.0,31,0.21046153091813943,1.4984056367823788,-0.5699632504564658,0.5699632504564658,2.278830418156984,34.0,87.00787401574803
Chambers,12.0,39.0,9.7,103000.0,16,-0.10033631125167004,-1.4083792288697918,2.693337870957009,-2.693337870957009,-4.20205341107847,242.0,5.118110236220472
Cherokee,14.0,39.0,8.6,57700.0,24,-0.10033631125167004,0.1419060328113659,-0.392832083114607,0.392832083114607,0.43440180467430284,115.0,55.118110236220474
Childress,14.0,41.0,6.4,53900.0,22,0.5212593730879489,-0.2456652826089235,-0.651716096921939,0.651716096921939,0.9273101874009644,89.0,65.35433070866141
Clay,10.0,35.0,8.0,73600.0,18,-1.343527679930908,-1.0208079134495023,0.6903931325529138,-0.6903931325529138,-3.054728725933324,228.0,10.62992125984252
Cochran,18.0,44.0,5.6,46400.0,30,1.4536528995973774,1.3046199790722341,-1.162671387331147,1.162671387331147,3.9209442660007587,12.0,95.66929133858267
Coke,13.0,40.0,6.6,56800.0,21,0.21046153091813943,-0.43945094031906823,-0.454146717963712,0.454146717963712,0.22515730856278318,123.0,51.96850393700787
Coleman,12.0,38.0,6.9,49000.0,26,-0.4111341534214795,0.5294773482316553,-0.9855402199892882,0.9855402199892882,1.1038834147994638,76.0,70.47244094488188
Collin,10.0,29.0,9.4,120100.0,12,-3.208314732949765,-2.1835218597103707,3.858315933090003,-3.858315933090003,-9.250152525750138,254.0,0.39370078740157477
Collingsworth,14.0,39.0,6.3,48900.0,31,-0.10033631125167004,1.4984056367823788,-0.9923529571947444,0.9923529571947444,2.3904222827254533,31.0,88.18897637795276
Colorado,13.0,40.0,8.7,61400.0,26,0.21046153091813943,0.5294773482316553,-0.1407608065127311,0.1407608065127311,0.8806996856625258,92.0,64.1732283464567
Comal,10.0,39.0,9.0,99900.0,15,-0.10033631125167004,-1.6021648865799365,2.4821430175878696,-2.4821430175878696,-4.1846442154194765,241.0,5.511811023622047
Comanche,13.0,39.0,7.5,54700.0,26,-0.10033631125167004,0.5294773482316553,-0.5972141992782902,0.5972141992782902,1.0263552362582755,83.0,67.71653543307087
Concho,15.0,39.0,6.7,54900.0,19,-0.10033631125167004,-0.8270222557393576,-0.583588724867378,0.583588724867378,-0.3437698421236497,155.0,39.37007874015748
Cooke,11.0,37.0,8.8,75000.0,21,-0.721931995591289,-0.43945094031906823,0.7857714534292993,-0.7857714534292993,-1.9471543893396563,213.0,16.535433070866144
Coryell,13.0,38.0,8.4,72700.0,17,-0.4111341534214795,-1.214593571159647,0.6290784977038089,-0.6290784977038089,-2.2548062222849357,220.0,13.779527559055119
Cottle,15.0,42.0,6.1,52300.0,19,0.8320572152577583,-0.8270222557393576,-0.7607198922092367,0.7607198922092367,0.7657548517276375,98.0,61.811023622047244
Crane,15.0,40.0,6.6,58100.0,27,0.21046153091813943,0.7232630059418,-0.3655811342927826,0.3655811342927826,1.2993056711527222,69.0,73.22834645669292
Crockett,14.0,39.0,6.6,58800.0,31,-0.10033631125167004,1.4984056367823788,-0.31789197385458984,0.31789197385458984,1.7159612993852986,52.0,79.92125984251969
Crosby,15.0,41.0,5.9,46100.0,26,0.5212593730879489,0.5294773482316553,-1.1831095989475153,1.1831095989475153,2.2338463202671193,35.0,86.61417322834646
Culberson,17.0,43.0,5.6,54200.0,27,1.1428550574275678,0.7232630059418,-0.6312778853055707,0.6312778853055707,2.4973959486749386,26.0,90.15748031496062
Dallam,15.0,40.0,5.7,61400.0,35,0.21046153091813943,2.2735482676229575,-0.1407608065127311,0.1407608065127311,2.6247706050538278,24.0,90.94488188976378
Dallas,13.0,35.0,8.8,74400.0,27,-1.343527679930908,0.7232630059418,0.7448950301965627,-0.7448950301965627,-1.3651597041856705,196.0,23.228346456692915
Dawson,16.0,43.0,6.2,55100.0,27,1.1428550574275678,0.7232630059418,-0.5699632504564658,0.5699632504564658,2.4360813138258335,29.0,88.9763779527559
Deaf Smith,17.0,44.0,5.9,60100.0,27,1.4536528995973774,0.7232630059418,-0.22932639018366047,0.22932639018366047,2.406242295722838,30.0,88.58267716535433
Delta,11.0,37.0,8.3,56900.0,16,-0.721931995591289,-1.4083792288697918,-0.44733398075825587,0.44733398075825587,-1.6829772437028248,207.0,18.89763779527559
Denton,10.0,31.0,7.4,107400.0,13,-2.5867190486101457,-1.9897362020002258,2.9930983079970774,-2.9930983079970774,-7.569553558607449,252.0,1.1811023622047243
DeWitt,14.0,41.0,8.7,61100.0,22,0.5212593730879489,-0.2456652826089235,-0.16119901812909943,0.16119901812909943,0.4367931086081248,114.0,55.51181102362205
Dickens,13.0,37.0,5.9,47400.0,22,-0.721931995591289,-0.2456652826089235,-1.094544015276586,1.094544015276586,0.1269467370763735,135.0,47.24409448818898
Dimmit,22.0,50.0,8.4,45000.0,25,3.318439952616234,0.3356916905215106,-1.2580497082075324,1.2580497082075324,4.912181351345277,9.0,96.8503937007874
Donley,12.0,37.0,6.0,48900.0,25,-0.721931995591289,0.3356916905215106,-0.9923529571947444,0.9923529571947444,0.606112652124966,104.0,59.4488188976378
Duval,18.0,43.0,9.0,40400.0,22,1.1428550574275678,-0.2456652826089235,-1.5714356196585133,1.5714356196585133,2.4686253944771575,27.0,89.76377952755905
Eastland,12.0,37.0,7.3,52200.0,24,-0.721931995591289,0.1419060328113659,-0.7675326294146928,0.7675326294146928,0.18750666663476978,128.0,50.0
Ector,14.0,40.0,7.3,66800.0,26,0.21046153091813943,0.5294773482316553,0.22712700258189863,-0.22712700258189863,0.5128118765678961,110.0,57.08661417322835
Edwards,17.0,42.0,6.9,51700.0,36,0.8320572152577583,2.4673339253331026,-0.8015963154419734,0.8015963154419734,4.1009874560328345,11.0,96.06299212598425
El Paso,16.0,39.0,9.3,58700.0,29,-0.10033631125167004,1.1108343213620895,-0.32470471106004595,0.32470471106004595,1.3352027211704653,67.0,74.01574803149606
Ellis,11.0,38.0,8.3,90100.0,20,-0.4111341534214795,-0.633236598029213,1.8144947714531714,-1.8144947714531714,-2.858865522903864,226.0,11.41732283464567
Erath,12.0,40.0,7.8,63600.0,23,0.21046153091813943,-0.05187962489877881,0.009119412007303235,-0.009119412007303235,0.14946249401205738,132.0,48.22834645669291
Falls,15.0,43.0,8.4,49900.0,21,1.1428550574275678,-0.43945094031906823,-0.9242255851401833,0.9242255851401833,1.6276297022486828,55.0,78.74015748031496
Fannin,12.0,38.0,8.8,66400.0,20,-0.4111341534214795,-0.633236598029213,0.1998760537600742,-0.1998760537600742,-1.2442468052107667,193.0,24.409448818897637
Fayette,11.0,36.0,8.6,71400.0,22,-1.0327298377610985,-0.2456652826089235,0.5405129140328795,-0.5405129140328795,-1.8189080344029016,209.0,18.11023622047244
Fisher,12.0,38.0,6.5,61800.0,18,-0.4111341534214795,-1.0208079134495023,-0.11350985769090667,0.11350985769090667,-1.3184322091800753,194.0,24.015748031496063
Floyd,16.0,41.0,6.1,46800.0,30,0.5212593730879489,1.3046199790722341,-1.1354204385093225,1.1354204385093225,2.9612997906695053,21.0,92.1259842519685
Foard,14.0,40.0,6.5,50000.0,21,0.21046153091813943,-0.43945094031906823,-0.9174128479347272,0.9174128479347272,0.6884234385337984,102.0,60.23622047244095
Fort Bend,12.0,33.0,10.6,106200.0,15,-1.9651233642705268,-1.6021648865799365,2.9113454615316043,-2.9113454615316043,-6.478633712382068,247.0,3.149606299212598
Franklin,10.0,35.0,8.5,60000.0,17,-1.343527679930908,-1.214593571159647,-0.23613912738911658,0.23613912738911658,-2.321982123701438,222.0,12.992125984251967
Freestone,13.0,39.0,8.4,58900.0,22,-0.10033631125167004,-0.2456652826089235,-0.31107923664913373,0.31107923664913373,-0.03492235721145981,141.0,44.881889763779526
Frio,17.0,42.0,,50100.0,27,0.8320572152577583,0.7232630059418,-0.910600110729271,0.910600110729271,2.4659203319288294,28.0,89.37007874015748
Gaines,14.0,40.0,6.1,66000.0,38,0.21046153091813943,2.854905240753392,0.17262510493824978,-0.17262510493824978,2.8927416667332815,22.0,91.73228346456693
Galveston,12.0,40.0,8.3,83100.0,19,0.21046153091813943,-0.8270222557393576,1.3376031670712438,-1.3376031670712438,-1.954163891892462,215.0,15.748031496062993
Garza,15.0,41.0,,53200.0,26,0.5212593730879489,0.5294773482316553,-0.6994052573601318,0.6994052573601318,1.750141978679736,51.0,80.31496062992126
Gillespie,11.0,34.0,7.6,76200.0,28,-1.6543255221007174,0.9170486636519447,0.8675242998947725,-0.8675242998947725,-1.604801158343545,206.0,19.291338582677163
Glasscock,11.0,34.0,6.7,99600.0,20,-1.6543255221007174,-0.633236598029213,2.461704805971501,-2.461704805971501,-4.7492669261014315,245.0,3.937007874015748
Goliad,13.0,39.0,8.6,64000.0,19,-0.10033631125167004,-0.8270222557393576,0.03637036082912766,-0.03637036082912766,-0.9637289278201554,185.0,27.559055118110237
Gonzales,14.0,40.0,8.7,56400.0,27,0.21046153091813943,0.7232630059418,-0.48139766678553636,0.48139766678553636,1.4151222036454758,62.0,75.98425196850394
Gray,14.0,41.0,6.2,56700.0,26,0.5212593730879489,0.5294773482316553,-0.4609594551691681,0.4609594551691681,1.5116961764887722,58.0,77.55905511811024
Grayson,12.0,37.0,9.0,69400.0,21,-0.721931995591289,-0.43945094031906823,0.40425816992375735,-0.40425816992375735,-1.5656411058341144,204.0,20.078740157480315
Gregg,13.0,40.0,9.1,61300.0,24,0.21046153091813943,0.1419060328113659,-0.1475735437181872,0.1475735437181872,0.49994110744769255,111.0,56.69291338582677
Grimes,13.0,42.0,9.0,64700.0,23,0.8320572152577583,-0.05187962489877881,0.0840595212673204,-0.0840595212673204,0.6961180690916591,101.0,60.629921259842526
Guadalupe,12.0,39.0,9.1,95000.0,15,-0.10033631125167004,-1.6021648865799365,2.1483188945205205,-2.1483188945205205,-3.850820092352127,235.0,7.874015748031496
Hale,16.0,43.0,6.6,52500.0,27,1.1428550574275678,0.7232630059418,-0.7470944177983245,0.7470944177983245,2.6132124811676922,25.0,90.5511811023622
Hall,14.0,41.0,6.1,40700.0,30,0.5212593730879489,1.3046199790722341,-1.550997408042145,1.550997408042145,3.376876760202328,19.0,92.91338582677166
Hamilton,12.0,38.0,7.7,59400.0,25,-0.4111341534214795,0.3356916905215106,-0.27701555062185323,0.27701555062185323,0.20157308772188431,126.0,50.78740157480315
Hansford,12.0,37.0,6.4,68200.0,31,-0.721931995591289,1.4984056367823788,0.3225053234582841,-0.3225053234582841,0.45396831773280577,112.0,56.2992125984252
Hardeman,12.0,37.0,6.6,50400.0,23,-0.721931995591289,-0.05187962489877881,-0.8901618991129028,0.8901618991129028,0.11635027862283498,136.0,46.8503937007874
Hardin,11.0,38.0,8.9,73900.0,19,-0.4111341534214795,-0.8270222557393576,0.7108313441692822,-0.7108313441692822,-1.9489877533301194,214.0,16.141732283464567
Harris,15.0,35.0,11.6,72300.0,26,-1.343527679930908,0.5294773482316553,0.6018275488819844,-0.6018275488819844,-1.415877880581237,198.0,22.440944881889763
Harrison,13.0,40.0,8.4,62700.0,21,0.21046153091813943,-0.43945094031906823,-0.05219522284180172,0.05219522284180172,-0.17679418655912707,148.0,42.125984251968504
Hartley,11.0,35.0,5.5,88300.0,19,-1.343527679930908,-0.8270222557393576,1.6918655017549613,-1.6918655017549613,-3.862415437425227,237.0,7.086614173228346
Haskell,13.0,40.0,6.8,49800.0,27,0.21046153091813943,0.7232630059418,-0.9310383223456393,0.9310383223456393,1.864762859205579,47.0,81.88976377952756
Hays,12.0,34.0,9.2,88500.0,16,-1.6543255221007174,-1.4083792288697918,1.7054909761658736,-1.7054909761658736,-4.768195727136383,246.0,3.543307086614173
Hemphill,11.0,37.0,6.5,72600.0,24,-0.721931995591289,0.1419060328113659,0.6222657604983528,-0.6222657604983528,-1.2022917232782757,190.0,25.590551181102363
Henderson,12.0,37.0,8.3,59000.0,26,-0.721931995591289,0.5294773482316553,-0.3042664994436776,0.3042664994436776,0.11181185208404393,137.0,46.45669291338583
Hidalgo,19.0,48.0,10.8,53200.0,40,2.696844268276615,3.2424765561736812,-0.6994052573601318,0.6994052573601318,6.638726081810429,2.0,99.60629921259843
Hill,13.0,37.0,8.6,61800.0,23,-0.721931995591289,-0.05187962489877881,-0.11350985769090667,0.11350985769090667,-0.6603017627991611,173.0,32.28346456692913
Hockley,14.0,41.0,6.0,60900.0,27,0.5212593730879489,0.7232630059418,-0.17482449254001162,0.17482449254001162,1.4193468715697604,61.0,76.37795275590551
Hood,9.0,34.0,8.3,82400.0,19,-1.6543255221007174,-0.8270222557393576,1.2899140066330512,-1.2899140066330512,-3.7712617844731264,233.0,8.661417322834646
Hopkins,12.0,38.0,8.6,61100.0,24,-0.4111341534214795,0.1419060328113659,-0.16119901812909943,0.16119901812909943,-0.10802910248101416,144.0,43.7007874015748
Houston,14.0,40.0,8.5,52600.0,23,0.21046153091813943,-0.05187962489877881,-0.7402816805928684,0.7402816805928684,0.898863586612229,91.0,64.56692913385827
Howard,14.0,42.0,6.7,63400.0,23,0.8320572152577583,-0.05187962489877881,-0.004506062403608978,0.004506062403608978,0.7846836527625884,95.0,62.99212598425197
Hudspeth,20.0,43.0,5.8,47700.0,31,1.1428550574275678,1.4984056367823788,-1.0741058036602176,1.0741058036602176,3.715366497870164,15.0,94.48818897637796
Hunt,12.0,42.0,8.7,70400.0,23,0.8320572152577583,-0.05187962489877881,0.47238554197831845,-0.47238554197831845,0.30779204838066104,119.0,53.54330708661418
Hutchinson,12.0,38.0,6.2,64800.0,19,-0.4111341534214795,-0.8270222557393576,0.09087225847277651,-0.09087225847277651,-1.3290286676336138,195.0,23.62204724409449
Irion,11.0,36.0,6.6,75700.0,22,-1.0327298377610985,-0.2456652826089235,0.833460613867492,-0.833460613867492,-2.111855734237514,219.0,14.173228346456693
Jack,12.0,38.0,7.7,62700.0,26,-0.4111341534214795,0.5294773482316553,-0.05219522284180172,0.05219522284180172,0.17053841765197747,130.0,49.21259842519685
Jackson,13.0,40.0,8.7,62000.0,23,0.21046153091813943,-0.05187962489877881,-0.09988438327999447,0.09988438327999447,0.2584662892993551,120.0,53.14960629921261
Jasper,13.0,41.0,8.6,58100.0,24,0.5212593730879489,0.1419060328113659,-0.3655811342927826,0.3655811342927826,1.0287465401920974,82.0,68.11023622047244
Jeff Davis,14.0,40.0,5.2,63600.0,23,0.21046153091813943,-0.05187962489877881,0.009119412007303235,-0.009119412007303235,0.14946249401205738,132.0,48.22834645669291
Jefferson,16.0,38.0,8.5,59300.0,25,-0.4111341534214795,0.3356916905215106,-0.28382828782730934,0.28382828782730934,0.20838582492734042,125.0,51.181102362204726
Jim Hogg,19.0,45.0,9.2,44700.0,27,1.7644507417671869,0.7232630059418,-1.2784879198239008,1.2784879198239008,3.7662016675328878,14.0,94.88188976377953
Jim Wells,17.0,43.0,9.2,50800.0,23,1.1428550574275678,-0.05187962489877881,-0.8629109502910783,0.8629109502910783,1.9538863828198674,43.0,83.46456692913385
Johnson,12.0,42.0,8.9,83200.0,22,0.8320572152577583,-0.2456652826089235,1.3444159042766999,-1.3444159042766999,-0.7580239716278651,176.0,31.10236220472441
